date,shift,machine_id,reason,duration_min
2025-01-01,Mañana,M-01,Falla mecánica,50
2025-01-01,Noche,M-01,Falla mecánica,26
2025-01-01,Tarde,M-02,Falla mecánica,90
2025-01-01,Noche,M-02,Falla mecánica,69
2025-01-01,Noche,M-02,Cambio de formato,24
2025-01-01,Tarde,M-03,Falla mecánica,20
2025-01-01,Noche,M-03,Cambio de formato,37
2025-01-01,Noche,M-03,Falla mecánica,61
2025-01-01,Noche,M-03,Falta de material,55
2025-01-01,Mañana,M-04,Otros,12
2025-01-01,Mañana,M-04,Falla eléctrica,68
2025-01-01,Mañana,M-05,Falla mecánica,46
2025-01-01,Tarde,M-05,Falta de material,45
2025-01-01,Tarde,M-05,Falla mecánica,56
2025-01-01,Tarde,M-05,Ajuste de calidad,6
2025-01-01,Tarde,M-05,Falla mecánica,19
2025-01-02,Mañana,M-01,Falla mecánica,78
2025-01-02,Mañana,M-01,Cambio de formato,40
2025-01-02,Noche,M-01,Falla eléctrica,71
2025-01-02,Tarde,M-02,Falla mecánica,35
2025-01-02,Tarde,M-02,Ajuste de calidad,18
2025-01-02,Noche,M-02,Cambio de formato,28
2025-01-02,Tarde,M-03,Falla mecánica,58
2025-01-02,Noche,M-03,Limpieza no programada,18
2025-01-02,Mañana,M-04,Falla mecánica,53
2025-01-02,Noche,M-04,Falla eléctrica,20
2025-01-02,Noche,M-04,Falta de material,41
2025-01-02,Noche,M-04,Falla mecánica,61
2025-01-02,Tarde,M-05,Falla mecánica,77
2025-01-02,Tarde,M-05,Ajuste de calidad,22
2025-01-02,Tarde,M-05,Ajuste de calidad,9
2025-01-03,Mañana,M-01,Falla eléctrica,116
2025-01-03,Mañana,M-01,Falta de material,22
2025-01-03,Mañana,M-01,Falta de material,35
2025-01-03,Tarde,M-01,Cambio de formato,23
2025-01-03,Noche,M-02,Falla mecánica,77
2025-01-03,Mañana,M-03,Falta de material,40
2025-01-03,Mañana,M-03,Falla mecánica,75
2025-01-03,Mañana,M-03,Ajuste de calidad,11
2025-01-03,Tarde,M-03,Cambio de formato,43
2025-01-03,Noche,M-03,Falla mecánica,58
2025-01-03,Noche,M-03,Ajuste de calidad,8
2025-01-03,Mañana,M-04,Cambio de formato,28
2025-01-03,Noche,M-05,Falla eléctrica,41
2025-01-03,Noche,M-05,Cambio de formato,32
2025-01-04,Mañana,M-01,Cambio de formato,43
2025-01-04,Tarde,M-01,Falla mecánica,52
2025-01-04,Tarde,M-01,Falla mecánica,22
2025-01-04,Noche,M-01,Falla mecánica,89
2025-01-04,Noche,M-01,Cambio de formato,36
2025-01-04,Tarde,M-02,Falla mecánica,30
2025-01-04,Noche,M-02,Falla mecánica,25
2025-01-04,Mañana,M-03,Limpieza no programada,16
2025-01-04,Noche,M-03,Falla eléctrica,29
2025-01-04,Mañana,M-04,Falla mecánica,83
2025-01-04,Tarde,M-04,Falla eléctrica,51
2025-01-04,Tarde,M-04,Cambio de formato,25
2025-01-04,Tarde,M-04,Cambio de formato,37
2025-01-04,Noche,M-04,Falta de material,10
2025-01-04,Noche,M-04,Falta de material,45
2025-01-04,Noche,M-04,Falla mecánica,28
2025-01-04,Noche,M-04,Limpieza no programada,14
2025-01-04,Mañana,M-05,Falla mecánica,51
2025-01-04,Mañana,M-05,Falta de material,55
2025-01-04,Tarde,M-05,Cambio de formato,28
2025-01-04,Tarde,M-05,Falla eléctrica,26
2025-01-05,Mañana,M-01,Falla mecánica,71
2025-01-05,Noche,M-01,Cambio de formato,31
2025-01-05,Noche,M-01,Falta de material,19
2025-01-05,Noche,M-01,Cambio de formato,21
2025-01-05,Mañana,M-02,Falla eléctrica,65
2025-01-05,Mañana,M-02,Falla mecánica,46
2025-01-05,Tarde,M-02,Falla eléctrica,99
2025-01-05,Tarde,M-03,Ajuste de calidad,18
2025-01-05,Tarde,M-03,Ajuste de calidad,12
2025-01-05,Tarde,M-03,Falla mecánica,28
2025-01-05,Noche,M-03,Falla mecánica,73
2025-01-05,Mañana,M-04,Falla mecánica,39
2025-01-05,Mañana,M-04,Cambio de formato,28
2025-01-05,Noche,M-04,Cambio de formato,20
2025-01-05,Noche,M-04,Falla mecánica,48
2025-01-05,Noche,M-04,Falla mecánica,48
2025-01-05,Noche,M-04,Falla mecánica,70
2025-01-05,Mañana,M-05,Otros,8
2025-01-05,Noche,M-05,Cambio de formato,43
2025-01-05,Noche,M-05,Limpieza no programada,16
2025-01-05,Noche,M-05,Cambio de formato,22
2025-01-06,Mañana,M-01,Falta de material,17
2025-01-06,Mañana,M-02,Falta de material,21
2025-01-06,Mañana,M-02,Falta de material,29
2025-01-06,Mañana,M-02,Cambio de formato,20
2025-01-06,Tarde,M-02,Falta de material,30
2025-01-06,Tarde,M-02,Cambio de formato,34
2025-01-06,Noche,M-02,Limpieza no programada,15
2025-01-06,Noche,M-02,Falta de material,28
2025-01-06,Mañana,M-03,Ajuste de calidad,12
2025-01-06,Noche,M-03,Ajuste de calidad,7
2025-01-06,Mañana,M-04,Falta de material,34
2025-01-06,Tarde,M-04,Falla mecánica,28
2025-01-06,Noche,M-04,Falta de material,39
2025-01-06,Noche,M-04,Falla mecánica,46
2025-01-06,Tarde,M-05,Cambio de formato,44
2025-01-06,Noche,M-05,Cambio de formato,37
2025-01-06,Noche,M-05,Cambio de formato,25
2025-01-07,Tarde,M-01,Cambio de formato,40
2025-01-07,Tarde,M-01,Falla mecánica,71
2025-01-07,Tarde,M-02,Falla mecánica,67
2025-01-07,Tarde,M-02,Cambio de formato,34
2025-01-07,Noche,M-02,Falla eléctrica,94
2025-01-07,Mañana,M-03,Falta de material,40
2025-01-07,Mañana,M-03,Falla mecánica,60
2025-01-07,Mañana,M-03,Falla mecánica,64
2025-01-07,Tarde,M-03,Ajuste de calidad,22
2025-01-07,Noche,M-03,Falla mecánica,77
2025-01-07,Mañana,M-04,Cambio de formato,25
2025-01-07,Tarde,M-04,Cambio de formato,32
2025-01-07,Tarde,M-04,Falta de material,52
2025-01-07,Tarde,M-04,Falla mecánica,69
2025-01-07,Tarde,M-05,Ajuste de calidad,13
2025-01-07,Tarde,M-05,Ajuste de calidad,20
2025-01-07,Noche,M-05,Cambio de formato,40
2025-01-07,Noche,M-05,Falla mecánica,20
2025-01-07,Noche,M-05,Ajuste de calidad,12
2025-01-07,Noche,M-05,Falla mecánica,17
2025-01-08,Mañana,M-01,Falla mecánica,42
2025-01-08,Noche,M-01,Ajuste de calidad,10
2025-01-08,Noche,M-01,Limpieza no programada,13
2025-01-08,Mañana,M-02,Falla eléctrica,68
2025-01-08,Mañana,M-03,Falla mecánica,87
2025-01-08,Tarde,M-03,Cambio de formato,36
2025-01-08,Noche,M-03,Cambio de formato,33
2025-01-08,Mañana,M-04,Falta de material,37
2025-01-08,Mañana,M-04,Falla mecánica,81
2025-01-08,Tarde,M-04,Cambio de formato,35
2025-01-08,Tarde,M-04,Cambio de formato,43
2025-01-08,Mañana,M-05,Ajuste de calidad,23
2025-01-09,Mañana,M-01,Falta de material,27
2025-01-09,Mañana,M-01,Falta de material,43
2025-01-09,Tarde,M-01,Cambio de formato,44
2025-01-09,Tarde,M-01,Falla mecánica,75
2025-01-09,Noche,M-01,Falla mecánica,43
2025-01-09,Noche,M-01,Cambio de formato,27
2025-01-09,Mañana,M-02,Cambio de formato,33
2025-01-09,Mañana,M-03,Limpieza no programada,15
2025-01-09,Mañana,M-03,Falla mecánica,76
2025-01-09,Tarde,M-03,Falta de material,16
2025-01-09,Tarde,M-03,Ajuste de calidad,14
2025-01-09,Mañana,M-04,Falta de material,54
2025-01-09,Mañana,M-04,Limpieza no programada,30
2025-01-09,Mañana,M-04,Falla eléctrica,82
2025-01-09,Noche,M-04,Falla mecánica,76
2025-01-09,Noche,M-04,Falla mecánica,23
2025-01-09,Noche,M-04,Cambio de formato,22
2025-01-09,Noche,M-05,Falta de material,49
2025-01-10,Mañana,M-01,Cambio de formato,38
2025-01-10,Tarde,M-01,Falta de material,57
2025-01-10,Noche,M-01,Falla mecánica,25
