date,shift,machine_id,planned_time_min,downtime_min,units_produced,units_rejected,ideal_cycle_time_sec
2025-01-01,Mañana,M-01,480,50,75627,1072,0.3
2025-01-01,Tarde,M-01,480,0,87428,2304,0.3
2025-01-01,Noche,M-01,480,26,73197,1841,0.3
2025-01-01,Mañana,M-02,480,0,83890,2474,0.3
2025-01-01,Tarde,M-02,480,90,66836,2411,0.3
2025-01-01,Noche,M-02,480,93,62366,2052,0.3
2025-01-01,Mañana,M-03,480,0,57317,1190,0.45
2025-01-01,Tarde,M-03,480,20,55779,1455,0.45
2025-01-01,Noche,M-03,480,153,34429,1027,0.45
2025-01-01,Mañana,M-04,480,80,84802,2465,0.25
2025-01-01,Tarde,M-04,480,0,99946,1627,0.25
2025-01-01,Noche,M-04,480,0,101998,3002,0.25
2025-01-01,Mañana,M-05,480,46,64698,1383,0.35
2025-01-01,Tarde,M-05,480,126,55722,1227,0.35
2025-01-01,Noche,M-05,480,0,72642,1962,0.35
2025-01-02,Mañana,M-01,480,118,65526,1175,0.3
2025-01-02,Tarde,M-01,480,0,85424,1527,0.3
2025-01-02,Noche,M-01,480,71,67236,2684,0.3
2025-01-02,Mañana,M-02,480,0,87285,2851,0.3
2025-01-02,Tarde,M-02,480,53,76340,1644,0.3
2025-01-02,Noche,M-02,480,28,80384,2879,0.3
2025-01-02,Mañana,M-03,480,0,59935,1825,0.45
2025-01-02,Tarde,M-03,480,58,47122,1085,0.45
2025-01-02,Noche,M-03,480,18,54780,1800,0.45
2025-01-02,Mañana,M-04,480,53,97458,2458,0.25
2025-01-02,Tarde,M-04,480,0,99996,1484,0.25
2025-01-02,Noche,M-04,480,122,75524,2639,0.25
2025-01-02,Mañana,M-05,480,0,70514,2562,0.35
2025-01-02,Tarde,M-05,480,108,57476,2207,0.35
2025-01-02,Noche,M-05,480,0,69140,1949,0.35
2025-01-03,Mañana,M-01,480,173,59522,1755,0.3
2025-01-03,Tarde,M-01,480,23,77996,929,0.3
2025-01-03,Noche,M-01,480,0,80942,2238,0.3
2025-01-03,Mañana,M-02,480,0,89754,1056,0.3
2025-01-03,Tarde,M-02,480,0,79503,1583,0.3
2025-01-03,Noche,M-02,480,77,64935,907,0.3
2025-01-03,Mañana,M-03,480,126,40654,1210,0.45
2025-01-03,Tarde,M-03,480,43,48408,1433,0.45
2025-01-03,Noche,M-03,480,66,44681,701,0.45
2025-01-03,Mañana,M-04,480,28,98230,3559,0.25
2025-01-03,Tarde,M-04,480,0,105817,3775,0.25
2025-01-03,Noche,M-04,480,0,98380,2579,0.25
2025-01-03,Mañana,M-05,480,0,70863,2310,0.35
2025-01-03,Tarde,M-05,480,0,71737,1753,0.35
2025-01-03,Noche,M-05,480,73,56604,1897,0.35
2025-01-04,Mañana,M-01,480,43,84729,2259,0.3
2025-01-04,Tarde,M-01,480,74,72423,1902,0.3
2025-01-04,Noche,M-01,480,125,56756,2203,0.3
2025-01-04,Mañana,M-02,480,0,83740,2332,0.3
2025-01-04,Tarde,M-02,480,30,84069,2277,0.3
2025-01-04,Noche,M-02,480,25,75373,2073,0.3
2025-01-04,Mañana,M-03,480,16,57558,1118,0.45
2025-01-04,Tarde,M-03,480,0,53742,1578,0.45
2025-01-04,Noche,M-03,480,29,47086,1348,0.45
2025-01-04,Mañana,M-04,480,83,83425,1497,0.25
2025-01-04,Tarde,M-04,480,113,79835,2263,0.25
2025-01-04,Noche,M-04,480,97,74565,2735,0.25
2025-01-04,Mañana,M-05,480,106,57135,1749,0.35
2025-01-04,Tarde,M-05,480,54,60996,1385,0.35
2025-01-04,Noche,M-05,480,0,64379,2133,0.35
2025-01-05,Mañana,M-01,480,71,74945,1711,0.3
2025-01-05,Tarde,M-01,480,0,79992,2919,0.3
2025-01-05,Noche,M-01,480,71,66751,2467,0.3
2025-01-05,Mañana,M-02,480,111,68636,1414,0.3
2025-01-05,Tarde,M-02,480,99,69474,2624,0.3
2025-01-05,Noche,M-02,480,0,76794,2610,0.3
2025-01-05,Mañana,M-03,480,0,57566,885,0.45
2025-01-05,Tarde,M-03,480,58,48897,545,0.45
2025-01-05,Noche,M-03,480,73,44531,1541,0.45
2025-01-05,Mañana,M-04,480,67,94532,3687,0.25
2025-01-05,Tarde,M-04,480,0,103584,2277,0.25
2025-01-05,Noche,M-04,480,186,57870,1944,0.25
2025-01-05,Mañana,M-05,480,8,72517,1979,0.35
2025-01-05,Tarde,M-05,480,0,74633,750,0.35
2025-01-05,Noche,M-05,480,81,60654,2281,0.35
2025-01-06,Mañana,M-01,480,17,86707,1648,0.3
2025-01-06,Tarde,M-01,480,0,83715,1847,0.3
2025-01-06,Noche,M-01,480,0,76421,1728,0.3
2025-01-06,Mañana,M-02,480,70,72690,1185,0.3
2025-01-06,Tarde,M-02,480,64,75141,1903,0.3
2025-01-06,Noche,M-02,480,43,73320,2125,0.3
